key,"JA-JP","EN-US","DE","IT","FR","FR","NL","RU","ZH",ZH,"ES","ES",Kr,EN-GB
Role_Developer,"開発","Developer",,,,,,,,,,,,
Role_Translator,"翻訳","Translator",,,,,,,,,,,,
Role_Tester,"テスト","Testor",,,,,,,,,,,,
Role_Debuger,"デバッグ","Debug",,,,,,,,,,,,
Log,"ログ送信","Share log",,,,,,,,,,,,
Log_Txt,"開発者にログを送信します","Share log to the developer",,,,,,,,,,,,
Backup,"バックアップ","Backup",,,,,,,,,,,,
Backup_Txt,"データベースのバックアップを出力します。","Backup database",,,,,,,,,,,,
Backup_Compress,"圧縮(ZIP)","Compress(ZIP)",,,,,,,,,,,,
Backup_No_Compress,"非圧縮(JSON)","Plain(JSON)",,,,,,,,,,,,
Restore,"リストア","Restore",,,,,,,,,,,,
Restore_Txt,"ファイルアプリからリストアするファイルを選択してください。","Select file to restore in Files app.",,,,,,,,,,,,
Privacy_Policy,"プライバシーポリシー","Privacy Policy",,,,,,,,,,,,
Source_Code,"ソースコード","Source code",,,,,,,,,,,,
Credit,"クレジット","Credit",,,,,,,,,,,,
Sign_In,"ログイン","Sign in",,,,,,,,,,,,
Sign_Out,"ログアウト","Sign out",,,,,,,,,,,,
Sign_Out_Txt,"ニンテンドーアカウントとの連携を解除します","Unlink the Nintendo Switch account.",,,,,,,,,,,,
Version,"バージョン","Version",,,,,,,,,,,,
Schedule_Sync,"スケジュール同期","Sync Schedule",,,,,,,,,,,,
Schedule_Sync_Txt,"スケジュールサーバーから過去のスケジュールを取得します","Retrieve schedule from the server.",,,,,,,,,,,,
Dark_Mode,"ダークモード","Dark mode",,,,,,,,,,,,
Gaming_Mode,"ゲーミングモード","Gaming mode",,,,,,,,,,,,
Write_Review,"レビューを書く","Write a review",,,,,,,,,,,,
Languages,"言語","Languages",,,,,,,,,,,,
Valid,"有効","Valid",,,,,,,,,,,,
Invalid,"無効","Invalid",,,,,,,,,,,,
Appearances,"外観","Appearances",,,,,,,,,,,,
Data_Management,"データ管理","Data Management",,,,,,,,,,,,
Application,"アプリ","Application",,,,,,,,,,,,
User_Data,"ユーザーデータ","User data",,,,,,,,,,,,
Results_Count,"リザルト件数","Results count",,,,,,,,,,,,
Ikaring2,"イカリング2","SplatNet2",,,,,,,,,,,,
About,"About","About",,,,,,,,,,,,
