key,"JA-JP","EN-US","DE","IT","FR","FR","NL","RU","ZH",ZH,"ES","ES",Kr,EN-GB
Role_Developer,"開発","Developer",,,,,,,,,,,,
Role_Translator,"翻訳","Translator",,,,,,,,,,,,
Role_Tester,"テスト","Testor",,,,,,,,,,,,
Role_Debuger,"デバッグ","Debug",,,,,,,,,,,,
Log,"ログ送信","Share log",,,,,,,,,,,,
Log_Txt,"開発者にログを送信します","Share log to the developer",,,,,,,,,,,,
Backup,"バックアップ","Backup",,,,,,,,,,,,
Backup_Txt,"データベースのバックアップを出力します。","Backup database",,,,,,,,,,,,
Backup_Compress,"圧縮(ZIP)","Compress(ZIP)",,,,,,,,,,,,
Backup_No_Compress,"非圧縮(JSON)","Plain(JSON)",,,,,,,,,,,,
Restore,"リストア","Restore",,,,,,,,,,,,
Restore_Txt,"ファイルアプリからリストアするファイルを選択してください。","Select file to restore in Files app.",,,,,,,,,,,,
Privacy_Policy,"プライバシーポリシー","Privacy Policy",,,,,,,,,,,,
Source_Code,"ソースコード","Source code",,,,,,,,,,,,
Credit,"クレジット","Credit",,,,,,,,,,,,
Sign_In,"ログイン","Sign in",,,,,,,,,,,,
Sign_Out,"ログアウト","Sign out",,,,,,,,,,,,
Sign_Out_Txt,"ニンテンドーアカウントとの連携を解除します","Unlink the Nintendo Switch account.",,,,,,,,,,,,
Unlink,,,,,,,,,,,,,,
Unlink_Txt,,,,,,,,,,,,,,
Version,"バージョン","Version",,,,,,,,,,,,
Schedule_Sync,"スケジュール同期","Sync Schedule",,,,,,,,,,,,
Schedule_Sync_Txt,"スケジュールサーバーから過去のスケジュールを取得します","Retrieve schedule from the server.",,,,,,,,,,,,
Dark_Mode,"ダークモード","Dark mode",,,,,,,,,,,,
Gaming_Mode,"ゲーミングモード","Gaming mode",,,,,,,,,,,,
Write_Review,"レビューを書く","Write a review",,,,,,,,,,,,
Languages,"言語","Languages",,,,,,,,,,,,
Valid,"有効","Valid",,,,,,,,,,,,
Invalid,"無効","Invalid",,,,,,,,,,,,
Appearances,"外観","Appearances",,,,,,,,,,,,
Data_Management,"データ管理","Data Management",,,,,,,,,,,,
Application,"アプリ","Application",,,,,,,,,,,,
User_Data,"ユーザーデータ","User data",,,,,,,,,,,,
Results_Count,"リザルト件数","Results count",,,,,,,,,,,,
Ikaring2,"イカリング2","SplatNet2",,,,,,,,,,,,
About,"About","About",,,,,,,,,,,,
Water_Levels,"-","-","-","-","-","-","-","-","-",-,"-","-",-,-
Rush,"ラッシュ","Rush","Ansturm","Orde","Ruées","Frenesíe","Stormloop","Озверевшие самониды","狂潮",狂潮,"Avalanchas","Frenesíes",러시,Rush
Goldie_Seeking,"キンシャケ探し","Goldie Seeking","Goldie-Suche","Scovare i Pinne d'oro","Chasse aux Dorax","Detección de orónidos","Het zoeken van Goldies","Поиски Великого Сам О’Нида","寻找金鲑鱼",尋找金鮭魚,"Detección de salmóreos","Detección de orónidos",황금연어 찾기,Goldie Seeking
Griller,"グリル発進","The Griller","Killgrills","Grill","Barbeurks","Brasaletas","Grillers","Жаровнер","烤架鱼进发",烤架魚出動,"Chaparrillas","Brasaletas",그릴 발진,The Griller
The_Mothership,"ハコビヤ襲来","The Mothership","Das Mutterschiff","Astronave madre","Vaisseaux mères","La salmonodriza","Het moederschip","Нерестилище","走私鱼来袭",走私魚來襲,"Aerocriaderos","La salmonodriza",운반함 급습,The Mothership
Fog,"霧","Fog","Nebel","Nebbia","Niebla","Niebla","Mist","Туман","雾",霧,"Niebla","Niebla",안개,Fog
Cohock_Charge,"ドスコイ大量発生","Cohock Charge","Brocken-Sturmangriff","Orde di Pinne Pingui","Charges de Sumoches","Ataques de agallones","Storm van Sallogs","Штурм сковорейдеров","大胖鱼大量出现",大胖魚大量出現,"Ataques de escamacarras","Ataques de agallones",덩치연어 대량 발생,Cohock Charge
Giant,"巨大タツマキ","Giant Tornado","Riesentornados","Tornado gigante","Tornade géante","Tornados gigantes","Reuzentornado","Гигантский торнадо","巨型龙卷风",巨型龍捲風,"Tornados gigantes","Tornados gigantes",거대 회오리,Giant Tornado
Mudmouth,"ドロシャケ噴出","Mudmouth Eruptions","Schlämmermaul-Eruptionen","Eruzioni di Fangonoidi","Émergence de Salmonoïdes de boue","Erupciones de bocalodos","Uitbarstingen van Moddermuilen","Появление илистого ревуна","泥鲑鱼喷发",泥鮭魚噴發,"Erupciones de morrolodos","Erupciones de bocalodos",진흙연어 분출,Mudmouth Eruptions
Cohozuna,"ヨコヅナ","Cohozuna","Malmsalm","Colossalmonoide","Salmotori","Salmonote","Sumosalmo","Исполид","横纲",橫綱,"Salmonote","Salmonote",천하장사,Cohozuna
