,ja,en-GB,en,de,es,es-MX,fr-CA,fr,it,ko,nl,ru,zh-Hant,zh-Hans
About,About,About,About,Über,Acerca de,Acerca de,À propos de,À propos de,Circa,소개,Over,О сайте,關於,关于
ActualValue,実測値,Actual,Actual,Aktuell,Actual,Actual,Réel,Réel,Effettivo,실제의,Werkelijk,Фактический,實際的,实际情况
Appearances,外観,Appearances,Appearances,Auftritte,Comparecencias,Comparecencias,Apparitions,Apparitions,Apparizioni,외모,Verschijningen,Внешний вид,外觀,出场
Application,アプリ,Application,Application,Anmeldung,Aplicación,Aplicación,Application,Application,Applicazione,응용 프로그램,Toepassing,Приложение,應用程式,应用
AverageRecord,平均きろく,Average,Average,Durchschnitt,Media,Media,Moyenne,Moyenne,Media,평균,Gemiddeld,Среднее,平均,平均值
Backup,バックアップ,Backup,Backup,Sicherung,Copia de seguridad,Copia de seguridad,Sauvegarde,Sauvegarde,Backup,백업,Back-up,Резервное копирование,備份,备份
BackupCompress,圧縮(ZIP),Compress(ZIP),Compress(ZIP),Komprimieren(ZIP),Comprimir(ZIP),Comprimir(ZIP),Compresser(ZIP),Compresser(ZIP),Comprimere (ZIP),압축 (ZIP),Comprimeren (ZIP),Сжать (ZIP),壓縮（ZIP）,压缩(ZIP)
BackupContext,データベースのバックアップを出力します。,Backup database,Backup database,Datenbank sichern,Copia de seguridad de la base de datos,Copia de seguridad de la base de datos,Sauvegarde de la base de données,Sauvegarde de la base de données,Database di backup,데이터베이스 백업,Back-up database,Резервное копирование базы данных,備份資料庫,备份数据库
BackupPlain,非圧縮(JSON),Plain(JSON),Plain(JSON),Klartext(JSON),Simple(JSON),Simple(JSON),Plain(JSON),Plain(JSON),Pianura(JSON),일반 (JSON),Gewoon (JSON),Plain(JSON),純文字（JSON）,Plain(JSON)
Credit,クレジット,Credit,Credit,Kredit,Crédito,Crédito,Crédit,Crédit,Credito,신용,Krediet,Кредит,信用,信用
